"V V Brown","Shark In The Water",PHMU1008,6,PHMU1008,PH,1," 2/27/13"
V.I.C.,"Get Silly",PHMU0808,3,PHMU0808,PH,1," 2/27/13"
"Valance, Holly","State Of Mind",SF210,1,SF210,SF,1," 2/27/13"
"Vale, Jerry","Al Di La",MM6240,15,MM6240,MM,1," 2/27/13"
"Vale, Jerry","Be My Love",MM6240,8,MM6240,MM,1," 2/27/13"
"Vale, Jerry","For Mama",MMSTA2-2,7,MMSTA2-2,MM,1," 2/27/13"
"Vale, Jerry","Love Me The Way I Love You",MM6240,10,MM6240,MM,1," 2/27/13"
"Vale, Jerry","Love Me With All Your Heart",MM6240,14,MM6240,MM,1," 2/27/13"
"Vale, Jerry","Mala Femina",MM6240,6,MM6240,MM,1," 2/27/13"
"Vale, Jerry",Mama,MM6240,12,MM6240,MM,1," 2/27/13"
"Vale, Jerry","My Heart Reminds Me",MM6240,7,MM6240,MM,1," 2/27/13"
"Vale, Jerry","My Love Forgive Me",MM6240,1,MM6240,MM,1," 2/27/13"
"Vale, Jerry","Non Dimenticar",MM6240,4,MM6240,MM,1," 2/27/13"
"Valens, Richie","Come On, Let's Go",CBEP454-4,9,CBEP454-4,CB,1," 2/27/13"
"Valens, Richie",Donna,SC7532,12,SC7532,SC,1," 2/27/13"
"Valens, Richie","La Bamba",SC8589,12,SC8589,SC,1," 2/27/13"
"Valens, Richie","Tell Laura I Love Her",SF038,3,SF038,SF,1," 2/27/13"
"Valens, Ritchie","Bamba, La",SC1004,5,SC1004,SC,1," 2/27/13"
"Valens, Ritchie","Come On Let's Go",SC8399,14,SC8399,SC,1," 2/27/13"
"Valens, Ritchie","La Bamba",CBE14,5,CBE14,CB,1," 2/27/13"
"Valli, Frankie","Can't Take My Eyes Off Of You",SC8441,15,SC8441,SC,1," 2/27/13"
"Valli, Frankie",Grease,SAVP34,9,SAVP34,SA,1," 2/27/13"
"Valli, Frankie","My Eyes Adored You",CBEP464-6,12,CBEP464-6,CB,1," 2/27/13"
"Valli, Frankie","Our Day Will Come",MMOLD01,12,MMOLD01,MM,1," 2/27/13"
"Valli, June","I Understand",SAVP30,13,SAVP30,SA,1," 2/27/13"
"Van Beethoven, Camper","Take The Skinheads Bowling",SC8707,7,SC8707,SC,1," 2/27/13"
"Van Dyke, Dick","Put On A Happy Face",DK1103,8,DK1103,DK,1," 2/27/13"
"Van Dyke, Leroy",Auctioneer,CBEP451-2,5,CBEP451-2,CB,1," 2/27/13"
"Van Dyke, Leroy","If A Woman Answers",SC8509,9,SC8509,SC,1," 2/27/13"
"Van Dyke, Leroy","Walk On By",DK088,12,DK088,DK,1," 2/27/13"
"Van Halen","Ain't Talkin' 'Bout Love",SC2248,1,SC2248,SC,1," 2/27/13"
"Van Halen","Ain't Talkin' 'bout Love",SC7565,2,SC7565,SC,1," 2/27/13"
"Van Halen","Dance The Night Away",SGB026,5,SGB026,SG,1," 2/27/13"
"Van Halen","Don't Tell Me (What Love Can Do)",SC8156,15,SC8156,SC,1," 2/27/13"
"Van Halen",Dreams,SC8843,4,SC8843,SC,1," 2/27/13"
"Van Halen","Everybody Wants Some!!",SC8782,15,SC8782,SC,1," 2/27/13"
"Van Halen","Feel Your Love Tonight",SGB04,1,SGB04,SG,1," 2/27/13"
"Van Halen","Finish What Ya Started",SC8583,1,SC8583,SC,1," 2/27/13"
"Van Halen","Hot For Teacher",SC8406,2,SC8406,SC,1," 2/27/13"
"Van Halen","Humans Being",SC8286,3,SC8286,SC,1," 2/27/13"
"Van Halen","I'll Wait",SC8580,4,SC8580,SC,1," 2/27/13"
"Van Halen","Ice Cream Man",SC7561,10,SC7561,SC,1," 2/27/13"
"Van Halen","Jamie's Cryin'",SC8586,14,SC8586,SC,1," 2/27/13"
"Van Halen",Jump,SF013,13,SF013,SF,1," 2/27/13"
"Van Halen",Panama,MM6315,7,MM6315,MM,1," 2/27/13"
"Van Halen","Right Now",SC8562,5,SC8562,SC,1," 2/27/13"
"Van Halen","Runnin' With The Devil",SC8334,8,SC8334,SC,1," 2/27/13"
"Van Halen","Top Of The World",SC8638,10,SC8638,SC,1," 2/27/13"
"Van Halen",Unchained,SC8791,11,SC8791,SC,1," 2/27/13"
"Van Halen","Why Can't This Be Love",SGB14,13,SGB14,SG,1," 2/27/13"
"Van Halen","Without You",SC8453,13,SC8453,SC,1," 2/27/13"
"Van Halen","You Really Got Me",SGB14,9,SGB14,SG,1," 2/27/13"
"Van Halen wvocal","Ain't Talkin' 'Bout Love",SC2248,9,SC2248,SC,1," 2/27/13"
"Van Halen wvocal","Hot For Teacher",SC2248,10,SC2248,SC,1," 2/27/13"
"Van Halen wvocal","I'll Wait",SC2248,12,SC2248,SC,1," 2/27/13"
"Van Halen wvocal","Ice Cream Man",SC2248,15,SC2248,SC,1," 2/27/13"
"Van Halen wvocal","Jamie's Cryin'",SC2248,11,SC2248,SC,1," 2/27/13"
"Van Halen wvocal",Jump,SC2248,13,SC2248,SC,1," 2/27/13"
"Van Halen wvocal",Panama,SC2248,14,SC2248,SC,1," 2/27/13"
"Van Halen wvocal","Runnin' With The Devil",SC2248,16,SC2248,SC,1," 2/27/13"
"Van Hunt",Dust,SC3408,4,SC3408,SC,1," 2/27/13"
"Van Shelton, Ricky","Call Me Crazy",CB60208,7,CB60208,CB,1," 2/27/13"
"Van Shelton, Ricky","Don't We All Have The Right",CBE4-19,15,CBE4-19,CB,1," 2/27/13"
"Van Shelton, Ricky","From A Jack To A King",CBE3-07,8,CBE3-07,CB,1," 2/27/13"
"Van Shelton, Ricky","Please Come Home For Christmas",CB60184,4,CB60184,CB,1," 2/27/13"
"Van Shelton, Ricky","Somebody's Gonna Lose",CB60225,14,CB60225,CB,1," 2/27/13"
"Van Shelton, Ricky & Parton, Dolly","Rockin' Years",SC7588,5,SC7588,SC,1," 2/27/13"
Vandenburg,"Burning Heart",SC8373,5,SC8373,SC,1," 2/27/13"
"Vandross, Luther","Always & Forever",SC8150,9,SC8150,SC,1," 2/27/13"
"Vandross, Luther","Always And Forever",SC2179,3,SC2179,SC,1," 2/27/13"
"Vandross, Luther","Buy Me A Rose",SC8879,7,SC8879,SC,1," 2/27/13"
"Vandross, Luther","Dance With My Father",SC8852,9,SC8852,SC,1," 2/27/13"
"Vandross, Luther","Don't Want To Be A Fool",SC8272,15,SC8272,SC,1," 2/27/13"
"Vandross, Luther","Going In Circles",SC8156,3,SC8156,SC,1," 2/27/13"
"Vandross, Luther","Here & Now",SC8126,10,SC8126,SC,1," 2/27/13"
"Vandross, Luther","Here And Now",CBE2-25,11,CBE2-25,CB,1," 2/27/13"
"Vandross, Luther","House Is Not A Home, A",SC8264,2,SC8264,SC,1," 2/27/13"
"Vandross, Luther","I Can Make It Better",SC8343,14,SC8343,SC,1," 2/27/13"
